oclc,authorName,authorDates,ENDFullTitle,pubLocationStatement,pubDateTranscribed,format,formatStatement,generalNotes,paratextTitleControlled,paratext,epigraphBoolean,narrativeFormPrimary,narrativeFormAdditional,nonProseForms,inscriptionBoolean,marginaliaBoolean,translationClaimControlled,titleOtherWorks,titleNouns,titleAdjectives,titlePlaces,titleNames,titleVerbs,titleObjects,titleAdverbs,catalogedBy,Column,Column 29,Column 30,Column 31
260663,"Haywood, Eliza Fowler,",1693?-1756.,"The fortunate foundlings: being the genuine history of Colonel M----rs, and his sister Madam du P---y, the issue of the Hon. Ch---es M----rs, son of the late Duke of R--l--d. Containing many wonderful accidents that befel them in their travels, and interspersed with the characters and adventures of several persons of condition, in the most polite courts of Europe. The whole calculated for the entertainment and improvement of the youth of both sexes.",Dublin :,1745,Duodecimo,,"Published anonymously.  By Eliza Haywood.  Cf. NCBEL, II, col. 995.",Preface,,0,Third-person,,,0,0,,,"foundling, history, sister, issue, son, accident, travel, character, adventure, person, condition, court, whole, entertainment, improvement, youth, sex","fortunate, genuine, late, many, wonderful, several, most, polite, both",Europe,"Colonel M----rs, Madam du P---y, Duke of R--l--d",,,,,,,,
260664,"Haywood, Eliza Fowler,",1693?-1756.,"The fortunate foundlings: being the genuine history of Colonel M----rs, and his sister Madam du P---y, the issue of the Hon. Ch---es M----rs, son of the late Duke of R--l--d. Containing many wonderful accidents that befel them in their travels, and interspersed with the characters and adventures of several persons of condition, in the most polite courts of Europe. The whole calculated for the entertainment and improvement of the youth of both sexes.",Dublin :,1745,Duodecimo,,"Published anonymously.  By Eliza Haywood.  Cf. NCBEL, II, col. 995.",Preface,,0,Third-person,,,0,0,,,"foundling, history, sister, issue, son, accident, travel, character, adventure, person, condition, court, whole, entertainment, improvement, youth, sex","fortunate, genuine, late, many, wonderful, several, most, polite, both",Europe,"Colonel M----rs, Madam du P---y, Duke of R--l--d",,,,,,,,
260665,"Austen, Jane,",1775-1817.,,London:,1818,,,"Biographical notice"" by Henry Austen: v. 1, p. [iii]-xvi.",,,0,,,,0,0,,,,,,,,,,,,,,
260666,"Edgeworth, Maria,",1767-1849.,"The modern Griselda. A tale. By Miss Edgeworth, author of The parent's assistant, Tales of fashionable life, Letters for literary ladies, Moral tales, &c. First American edition.",Georgetown :,1810,Duodecimo,,,,,1,Third-person,"Epistolary, Essay",,0,0,,,"tale, author, parent, assistant, tale, life, letter, lady, tale, edition, self-justification, essay, science","modern, fashionable, literary, moral, American, noble",,"Griselda, Miss Edgeworth",,,,,,,,
260667,"Edgeworth, Maria,",1767-1849.,"Letters for literary ladies. To which is added, an essay on the noble science of self-justification. By Miss Edgeworth",Georgetown :,1810,Duodecimo,,,,,1,Third-person,"Epistolary, Essay",,0,0,,,"letter, lady, essay, science, self-justification","literary, noble",,Miss Edgeworth,,,,,,,,
260668,"Bunyan, John,",1628-1688.,"True relation of the holy war,",London,1810,Quarto,,,"Advertisement, Directions",,0,Third-person,,,0,1,,,"relation, war, metropolis, world, town, minister, gospel, author, pilgrim, progress, works","true, holy, late, valuable",,"King Shaddai, Diabolus,, Mansoul, Mr. John Bunyan, Bedford",,,,,,,,
260669,"Porter, Anna Maria,",1780-1832.,"The knight of St. John, a romance. By Miss Anna Maria Porter, author of ""The Recluse of Norway,"" &c. &c. &c. In three volumes. Vol. I.",London :,1817,Duodecimo,In three volumes,"First ed. Cf. Block, p. 188.",Dedication,,1,Third-person,,,1,0,,,"knight, romance, author, Recluse",,Norway,"St. John, Miss Anna Maria Porter",,,,,,,,
260670,"Porter, Anna Maria,",1780-1832.,,London :,1817,,,Publisher's advertisements: [18] p. at end of vol. 3.,,,0,,,,0,0,,,,,,,,,,,,,,
260671,"Porter, Anna Maria,",1780-1832.,"The knight of St. John, a romance. By Miss Anna Maria Porter, author of ""The Recluse of Norway,"" &c. &c. &c. In two volumes. Vol. I.",Philadelphia :,,Duodecimo,In two volumes.,,,,1,Third-person,,,0,0,,,"knight, romance, author, Recluse",,Norway,"St. John, Miss Anna Maria Porter",,,,,,,,
260672,"Johnson, R.",1733 or 4-1793.,,Philadelphia :,1810,,,"Published anonymously. Generally attributed to Richard Johnson, the printer., 'The looking class for the mind' was based on stories by M. Berquin, to whom this work is also often attributed.",,,0,,,,0,0,,,,,,,,,,,,,,
260673,"Burney, Sarah Harriet,",1772-1844.,"Clarentine, By Miss Burney. Vol. I.",London :,1816,,,"Advertisements: v. 3, [3] p. at end., The second volume covers chapter 8 through 14., The third volume covers chapters 15 through 24.",Advertisement,"Entitled, ""Interesting Works, Lately published  by H. Colburn, Conduit Street."", 27 works are listed.",0,Third-person,,,0,0,,"Geraldine Fauconberg, Traits of nature","novel, Author, volumes",,,"Clarentine, Miss Burney",,,,,,,,
260674,"Holberg, Ludvig,",1684-1754.,A journey to the world under-ground. By Nicholas Klimius. Translated from the original.,London,1742,Duodecimo,,Translation of Nicolai Klimii iter subterraneum.,,,0,,,,0,1,Translation,,"journey, world","under-ground, original",,Nicholas Klimius,,,,,,,,
260675,"Mouhy, Charles de Fieux,",1701-1784.,"The busy-body: or, successful spy: Vol. I.",London:,1742,Duodecimo,,"Translation of: La mouche, ou Les aventures de M. Bigand, published anonymously. By the Chevalier de Mouhy. Cf. Barbier, A.A. Ouvrages anonymes, v. 3, col. 369., Publisher's advertisements: v. 2, [4]-[7] at end.","Preface, Preface, Advertisement, To the reader, Letter",,0,First-person,,,1,0,,,"busy-body, spy, busy-body, spy, history, man, rashness, faculty, obscurity, fortune, story, whole, variety, adventure, busy-body, spy, history, man, rashness, faculty, obscurity, fortune, story, whole, variety, adventure","successful, successful, entertaining, infinitely, inquisitive, enterprising, unhappy, lowest, most, splendid, several, humorous, great, equally, instructive, diverting, successful, entertaining, infinitely, inquisitive, enterprising, unhappy, lowest, most, splendid, several, humorous, great, equally, instructive, diverting",,"Mons. Bigand, , Mons. Bigand, ",,,"nevertheless, nevertheless",,,,,
260676,"Mouhy, Charles de Fieux,",1701-1784.,"The busy-body: or, successful spy: Vol. I.",London:,1742,Duodecimo,,"Translation of: La mouche, ou Les aventures de M. Bigand, published anonymously. By the Chevalier de Mouhy. Cf. Barbier, A.A. Ouvrages anonymes, v. 3, col. 369., Publisher's advertisements: v. 2, [4]-[7] at end.","Preface, Preface, Advertisement, To the reader, Letter, Advertisement, To the reader, Letter",,0,First-person,,,0,0,,,"busy-body, spy, history, man, rashness, faculty, obscurity, fortune, story, whole, variety, adventure, busy-body, spy, history, man, rashness, faculty, obscurity, fortune, story, whole, variety, adventure","successful, entertaining, infinitely, inquisitive, enterprising, unhappy, lowest, most, splendid, several, humorous, great, equally, instructive, diverting, successful, entertaining, infinitely, inquisitive, enterprising, unhappy, lowest, most, splendid, several, humorous, great, equally, instructive, diverting",,"Mons. Bigand, Mons. Bigand",,,"containing, containing",,,,,
260677,,,,"Winchester, Va.,",1817,,,,,,0,,,,0,0,,,,,,,,,,,,,,
260678,"Cervantes Saavedra, Miguel de,",1547-1616.,,London :,1742,,,"The life of Michael de Cervantes Saavedra. Written by Don Gregorio Mayáns & Siscár ... Translated, from the Spanish manuscript, by Mr. Ozell"" (vi p., 1  ., 90 p., with frontispiece and special t.-p. dated 1738) inserted in v. 1 following p. xxxii.",,,0,,,,0,0,,,,,,,,,,,,,,
260679,"Opie, Amelia Alderson,",1769-1853.,,Georgetown :,1812,,,"Colophon: W. Cooper, printer.",,,0,,,,0,0,,,,,,,,,,,,,,
260680,"Ryley, S. W.",1759-1837.,,New York,1810,,,"Originally published in London in 1808 in three volumes. Two further series, of three volumes each, appeared in 1816-17 and 1827.",,,0,,,,0,0,,,"itinerant, Memoirs, actor, volumes",,,S.W. Ryley,,,,,,,,
260681,"Ryley, S. W.",1759-1837.,Memoirs of an actor,"London,",1817,,,"Pub. in 3 series of 3 vols. each. v. 1-3, 2d edition of 1st ser. v. 7-9 [3d ser.] have title: The Itinerant, in Scotland., ""'The Itinerant' purports to be in some respects autobiographical ... It is fashioned in part upon 'Tristram Shandy,' and in part upon Tate Wilkinson's 'Memoir of his own life,' and 'Wandering patentee.'""--Dict. nat. biog., Advertisements at end of vol. 1.",,,0,,,,0,0,,,,,,,,,,,,,,
260682,"Ryley, S. W.",1759-1837.,Memoirs of an actor,"London,",1817,Duodecimo,In three volumes.,"Pub. in 3 series of 3 vols. each. v. 1-3, 2d edition of 1st ser. v. 7-9 [3d ser.] have title: The Itinerant, in Scotland., ""'The Itinerant' purports to be in some respects autobiographical ... It is fashioned in part upon 'Tristram Shandy,' and in part upon Tate Wilkinson's 'Memoir of his own life,' and 'Wandering patentee.'""--Dict. nat. biog., Advertisements at end of vol. 1., There are short epigraphs at the beginning of each chapter; most of the epigraphs are quotes from Shakespeare.","Dedication, Letter, Preface, Table of contents, Table of contents, Table of contents",,1,First-person,,,1,0,,,"itinerant, memoir, actor, edition",second,,S.W. Ryley.,,,,,,,,
260683,"Ryley, S. W.",1759-1837.,,London,1816,,,"The itinerant"" was first published in three series of three volumes each, London, 1808, 1816-17, 1827. This is the first edition of the second series. A second edition of the first series appeared in 1817., On verso of t.p.: Printed by Smith & Galway, Liverpool.",,,0,,,,0,0,,,,,,,,,,,,,,
260684,"Ryley, S. W.",1759-1837.,"The itinerant, or memoirs of an actor.  Vol. IV.  By S. W. Ryley.",London :,1816,Duodecimo,,"The itinerant"" was first published in three series of three volumes each, London, 1808, 1816-17, 1827. This is the first edition of the second series. A second edition of the first series appeared in 1817., On verso of t.p.: Printed by Smith & Galway, Liverpool.","Dedication, Table of contents, Preface",,0,,,,0,0,,,"itinerant, memoir, actor., Vol. IV.",,,S. W. Ryley.,,,,,,,,
260685,"More, Hannah,",1745-1833.,"Coelebs in search of a wife. Comprehending observations on domestic habits and manners, religion and morals. The Fourteenth edition. In two volumes. Vol. I.",London :,1813,,,"Published anonymously.  By Hannah More., The second volume covers chapter 27 through 44., Colophon reads: Strahan and Preston ..., Last leaf of v. 2 blank.",Preface,"Begins: ""When I quitted home, on a little excursion in the fpring of this prefent year 1808, a thought ftruck me, which I began to put into immediate execution. I determined to commit to paper any little circumftrances that might arife, and any converfations in which I might be engaged, when the fubject was at all important, though there might be nothing particularly new or interefting in the difcuffion itfelf."", It is signed, ""Coelebs.",1,First-person,Epistolary,,1,0,,,"search, wife, observations, habits, manners, religion, morals, edition, volumes",domestic,,Coelebs,Comprehending,,,,,,,
260686,"Fielding, Sarah,",1710-1768.,adventure David Simple  account travel city London  Westminster  search real friend lady two volume second edition preface Henry Fielding Esq,London :,1744,Duodecimo,,Published anonymously.  By Sarah Fielding.  Cf. Halkett & Laing (2nd ed.),"Advertisement, To the reader",,0,Third-person,,,0,0,,,,,,,,,,,,,,
260687,"Fielding, Sarah,",1710-1768.,"The adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. Vol. I. The second edition, revised and corrected. With a preface by Henry Fielding Esq;",London :,1744,Duodecimo,,Published anonymously.  By Sarah Fielding.  Cf. Halkett & Laing (2nd ed.),"Table of contents, Table of contents, Advertisement, To the reader, Preface","A sentence-long summary is given with each chapter., A sentence-long summary is given with each chapter., Begins: ""As fo many worthy Perfons have, I am told, afcribed the Honour of this Performance to me, they will not be furprized at feeing my Name to this Preface: Nor am I very inficere, when I call it an Honour; for if the Authors of the Age are amongft the Number of thofe who have conferred it on me, I know very few of them to whom I fhall return the Compliment of fush a sufpicion., It is signed, ""Henry Fielding.",0,Third-person,,,1,0,,,"adventure, account, travel, city, search, friend, lady, edition, preface, adventure, account, travel, city, search, friend, lady, edition, preface","real, second, real, second","London, , Westminster, , London, , Westminster, ","David Simple, Henry Fielding, Esq, , David Simple, Henry Fielding, Esq, ",,,,,,,,
260688,"Fielding, Sarah,",1710-1768.,"The adventures of David Simple: containing an account of his travels through the cities of London and Westminster, in the search of a real friend. By a lady. In two volumes. Vol. I. The second edition, revised and corrected. With a preface by Henry Fielding Esq;",London :,1744,Duodecimo,,"Notes glued into the first volume between the front pastdown and the front free endpaper., Published anonymously.  By Sarah Fielding.  Cf. Halkett & Laing (2nd ed.)","Advertisement, To the reader",,0,Third-person,,,0,0,,,"adventure, account, travel, city, search, friend, lady, edition, preface","real, second","London, Westminster","David Simple, Henry Fielding, Esq.",,,,,,,,
260689,,,"Alexis; or, the young adventurer. A novel.",London :,1746,Octavo,,"A curious account of the Young Pretender, with fictitious names of persons and places., Attributed to Allan Macdonald of Kingsborough., ""The key"": [2] p.",,,1,Third-person,,,0,0,,,"adventurer, novel",young,,Alexis,,,,,,,,
260690,,,"Memoirs of the love and state-intrigues of the court of H-----; from the marriage of the princess of Z--------, to the tragical death of Count K-----k: a home-truth.","London,",1743,Octavo,,"Published also under title: A home truth: being memoirs of the love and state-intrigues of the court of H[anover], Doubtfully ascribed to Countess Maria Aurora von Königsmarck. cf. Brown, John. Anecdotes and characters of the house of Brunswick (1821) p. 32-33.",,,1,,,,0,1,Translation,,"home-truth, High-German, sister, nobleman, Memoir, love, state-intrigue, court, marriage, princess, death, home-truth, sister, nobleman","unfortunate, tragical, High-German, unfortunate",Z--------,"Count K------k, H-----, Count K------k, Countess of K---------k",,,,,,,,
260691,"Kirkby, John,",1705-1754.,"The capacity and extent of the human understanding; exemplified in the extraordinary case of Automathes, a young nobelman, who was accidentally left in his infancy, upon a desolate island, and continued nineteen years in that solitary state, separate from all human society. A narrative abounding with many surprizing occurrences, both useful and entertaining to the reader. The second edition.",Dublin :,1746,Duodecimo,,"Largely borrowed from the History of Autonous (1736)"" -- Dict. nat. biog., Running title: The history of Automathes.",Dedication,,0,First-person,Third-person,,1,0,,,"capacity, extent, understanding, case, nobelman, infancy, island, year, state, society, narrative, occurrence, reader, edition","human, extraordinary, young, desolate, nineteen, solitary, human, many, surprizing, useful, entertaining",,Automathes,,,abounding,,,,,
260692,,,"The adventures and amours of the Marquis de Noailles, and Mademoiselle Tencin.",London :,1746,Duodecimo,In two volumes.,"A novel, the pretended narrative of Félicité de Biron.",Preface,,0,First-person,Epistolary,,0,0,Translation,,"adventure, amour, adventure, amour, manuscript",French,,"Marquis de Noailles, Mademoiselle Tencin, Marquis de Noailles, Mademoiselle Tencin",,,,,,,,
260693,,,"Leonora: or, characters drawn from real life. Containing a great variety of incidents: Interspers'd with reflections moral and entertaining. In two volumes. The second edition.",London :,1745,Duodecimo,,"Errata: v. 1, p. 393; v. 2, p. 391.","Preface, Preface, Errata",,1,First-person,Epistolary,,0,0,,,"character, life, variety, incident, reflection, edition, character, life, variety, incident, reflection, edition","real, great, moral, entertaining, second, real, great, moral, entertaining, second",,"Leonora, Leonora",,,,,,,,
260694,"Gomez,",1684-1770.,"Select novels, translated from the French of Madame de Gomez. Viz. Effects of simpathy. Fair gardener. The vestal. Clodomark. Sequel to the vestal. Tartarian prince. Never before published.",London :,1745,Duodecimo,,Selections from her Cent nouvelles nouvelles.,,,0,,,,0,0,,,"novel, effect, simpathy, gardener, vestal, Sequel, vestal, prince","Select, French, Fair, Tartarian",,"Madame de Gomez, ",,,,,,,,
260695,,,"The silph's resentment; or, the Numidian coquet: a satyrical novel. To which is added, revenge a-la-mode, an heroi-comic tale. [Price six-pence]",London :,1742,Octavo,,"Tit for tat, or Revenge a-la-mode, an heroi-comic tale"": p. 23-29.",Conclusion,,1,Third-person,,,0,0,,,"silph, resentment, coquet, novel, revenge, tale, six-pence","Numidian, satyrical, a-la-mode, heroi-comic",,,,,,,,,,
260696,"Kirkby, John,",1705-1754.,"The capacity and extent of the human understanding; exemplified in the extraordinary case of Automathes, a young nobelman, who was accidentally left in his infancy, upon a desolate island, and continued nineteen years in that solitary state, separate from all human society. A narrative abounding with many surprizing occurrences, both useful and entertaining to the reader.",London :,1745,Duodecimo,,"Largely borrowed from the History of Autonous (1736)"" -- Dict. nat. biog., Running title: The history of Automathes.",Dedication,,0,First-person,Third-person,,0,0,,,"capacity, extent, understanding, nobelman, infancy, island, year, state, society, narrative, occurrence, reader","human, extraordinary, young, desolate, nineteen, solitary, human, many, surprizing, useful, entertaining",,"Automathes, ",,,,,,,,
260697,"Arbuthnot, Archibald.",,"The life, adventures, and many and great vicissitudes of fortune of Simon, Lord Lovat, the head of the family of Frasers. From his birth at Beaufort, near Inverness, in the highlands of Scotland, in 1668, to the time of his being taken by Capt. Millar, after three days search, in a hollow tree, on the coasts of Knoidart and Arisaig. By the Rev. Archibald Arbuthnot, one of the society for propagating the Christian knowledge, and minister of Kiltarlaty, in the Presbytyry of Inverness.",London :,1946,,,"Fiction.  Cf. NCBEL v. 2, col. 2078., First issued anonymously, in parts; reissued with authors name on t.p.  Cf. Wiles, R. M.  Serial publication in England before 1750, p. 348., Gatherings of 4 leaves.  P. [1]-96 have vertical chain-lines; p. 97-280 have horizontal chain-lines.  Part nos. appear at the beginning of some gatherings., Illustrated frontispiece with the sentence, ""Lord Lovat taken by Capt MIllar in a hollow tree on the coast of Noidart.",Preface,,0,Third-person,,,0,0,,,"life, adventure, vicissitude, fortune, head, family, birth, highlands, day, search, tree, coast, society, knowledge, minister, Presbytyry","many, great, hollow, Christian","Beaufort, Inverness, Scotland, Knoidart, Arisaig, Kiltarlaty","Simon, Lord Lovat, Frasers, Capt. Millar, Rev. Archibald Arbuthnot",,,,,,,,
260698,,,The lady's drawing room. Being a faithfull picture of the great world. In which the various humours of both sexes are display'd. Drawn from the life: and interspers'd with entertaining and affecting novels.,London :,1744,Duodecimo,,,Preface,,0,,,,0,0,,,"drawing, room, picture, world, humour, sex, life, novel","lady, faithfull, great, various, both, entertaining, affecting",,,,,,,,,,
260699,"Fielding, Sarah,",1710-1768.,"Familiar letters between the principal characters in David Simple, and some others. To which is added, a vision. By the author of David Simple. In two volumes. Vol. I.",London :,1747,Octavo,In two volumes,"Published anonymously. By Sarah Fielding. Cf. Halkett & Laing (2nd ed.), Sequel to: The adventures of David Simple., Letters XL-XLIV are by Henry Fielding., List of subscribers: v. 1, p. xxiii-xlviii.",Preface,,0,"Epistolary, First-person",,,1,0,,,"letter, character, other, vision, author, Vol. I., letter, character, other, vision, author","familiar, principal, some, familiar, principal, some",,"David Simple, and, David Simple, , David Simple, , David Simple, ",,,,,,,,
260700,"Richardson, Samuel,",1689-1761.,"Clarissa. Or, the history of a young lady: comprehending the most important concerns of private life and particularly shewing, the distresses that may attend the misconduct both of parents and children, in relation to marriage. Published by the editor of Pamela. Vol. I.",London :,1748,Duodecimo,,"Vols. 3-7 have variant imprint: London : Printed by S. Richardson : And sold by John Osborn ... Andrew Millar ... J. and Ja. Rivington ... and by J. Leake, at Bath, 1748., Vol. 2 incl. 1 folded leaf of plates facing p. 50, with words and music of verses 14-16 of ""Ode to widsom""., Postscript at the end of vol. IV notes ""The remainder of this work will be published at once: and that as soon as indispensable avocations will permit.","Preface, Character information, To the reader, Errata",,0,Epistolary,,,1,0,,,"history, lady, concern, life, distress, misconduct, parent, children, marriage, editor","young, important, private",,"Clarissa, Pamela",,,,,,,,
